CMDLINE ./rush-hour
MEM 0.648438 1554457429.0607
MEM 1.636719 1554457429.0619
MEM 2.992188 1554457429.0631
MEM 2.992188 1554457429.0642
MEM 2.992188 1554457429.0654
MEM 2.992188 1554457429.0666
MEM 2.992188 1554457429.0677
MEM 2.992188 1554457429.0689
MEM 2.992188 1554457429.0701
MEM 2.992188 1554457429.0713
MEM 2.992188 1554457429.0725
MEM 2.992188 1554457429.0737
MEM 2.992188 1554457429.0749
MEM 2.992188 1554457429.0761
MEM 3.250000 1554457429.0774
MEM 3.250000 1554457429.0785
MEM 3.250000 1554457429.0797
MEM 3.250000 1554457429.0808
MEM 3.250000 1554457429.0820
MEM 3.250000 1554457429.0832
MEM 3.250000 1554457429.0843
MEM 3.250000 1554457429.0854
MEM 3.250000 1554457429.0867
MEM 3.250000 1554457429.0879
MEM 3.250000 1554457429.0891
MEM 3.250000 1554457429.0903
MEM 3.250000 1554457429.0915
MEM 3.250000 1554457429.0927
MEM 3.250000 1554457429.0940
MEM 3.250000 1554457429.0952
MEM 3.250000 1554457429.0964
MEM 3.250000 1554457429.0975
MEM 3.250000 1554457429.0987
MEM 3.250000 1554457429.0999
MEM 3.250000 1554457429.1011
MEM 3.250000 1554457429.1025
MEM 3.507812 1554457429.1037
MEM 3.507812 1554457429.1049
MEM 3.507812 1554457429.1061
MEM 3.507812 1554457429.1073
MEM 3.507812 1554457429.1085
MEM 3.507812 1554457429.1097
MEM 3.507812 1554457429.1109
MEM 3.507812 1554457429.1121
MEM 3.507812 1554457429.1133
MEM 3.507812 1554457429.1145
MEM 3.507812 1554457429.1157
MEM 3.507812 1554457429.1169
MEM 3.507812 1554457429.1181
MEM 3.507812 1554457429.1192
MEM 3.507812 1554457429.1203
MEM 3.507812 1554457429.1215
MEM 3.507812 1554457429.1227
MEM 3.507812 1554457429.1240
MEM 3.507812 1554457429.1252
MEM 3.507812 1554457429.1265
MEM 3.507812 1554457429.1276
MEM 3.507812 1554457429.1288
MEM 3.507812 1554457429.1301
MEM 3.507812 1554457429.1313
MEM 3.507812 1554457429.1325
