CMDLINE ./rush-hour
MEM 0.691406 1553779284.9142
MEM 1.636719 1553779284.9247
MEM 1.636719 1553779284.9351
MEM 1.636719 1553779284.9453
MEM 1.636719 1553779284.9559
MEM 1.636719 1553779284.9663
MEM 1.636719 1553779284.9765
MEM 1.636719 1553779284.9870
MEM 1.636719 1553779284.9977
MEM 1.636719 1553779285.0080
MEM 1.636719 1553779285.0185
MEM 1.636719 1553779285.0289
MEM 2.984375 1553779285.0392
MEM 2.984375 1553779285.0495
MEM 2.984375 1553779285.0602
MEM 2.984375 1553779285.0705
MEM 2.984375 1553779285.0807
MEM 2.984375 1553779285.0915
MEM 2.984375 1553779285.1017
MEM 2.984375 1553779285.1119
MEM 2.984375 1553779285.1224
MEM 2.984375 1553779285.1327
MEM 2.984375 1553779285.1429
MEM 2.984375 1553779285.1533
MEM 2.984375 1553779285.1637
MEM 2.984375 1553779285.1740
MEM 2.984375 1553779285.1845
MEM 2.984375 1553779285.1948
MEM 2.984375 1553779285.2051
MEM 2.984375 1553779285.2157
MEM 2.984375 1553779285.2263
MEM 2.984375 1553779285.2366
MEM 2.984375 1553779285.2472
MEM 2.984375 1553779285.2577
MEM 2.984375 1553779285.2680
MEM 2.984375 1553779285.2783
MEM 2.984375 1553779285.2889
MEM 2.984375 1553779285.2993
MEM 2.984375 1553779285.3096
MEM 2.984375 1553779285.3200
MEM 2.984375 1553779285.3303
MEM 2.984375 1553779285.3406
MEM 2.984375 1553779285.3510
